array,code,name,latitude,longitude
REGO,GILL,Gillam,56.376,-94.64
REGO,FSIM,Fort Simpson,61.756,-121.23
REGO,FSMI,Fort Smith,60.017,-111.95
REGO,RANK,Rankin Inlet,62.82,-92.11
REGO,RESU,Resolute Bay,74.70,-94.83
REGO,LUCK,Lucky Lake,51.15,-107.10
REGO,ATHA,Athabasca,54.71,-113.28
REGO,TALO,Taloyoak,69.53,-93.53
CARISMA,ANNA,Ann Arbor,42.417,-83.902
CARISMA,BACK,Back Lake,57.707,-94.206
CARISMA,CONT,Contwoyto,65.754,-111.25
CARISMA,DAWS,Dawson City,64.048,-139.11
CARISMA,ESKI,Eskimo Point,61.106,-94.05
CARISMA,FCHP,Fort Chipewyan,58.769,-111.106
CARISMA,FCHU,Fort Churchill,58.763,-94.08
CARISMA,FSIM,Fort Simpson,61.756,-121.23
CARISMA,FSMI,Fort Smith,60.017,-111.95
CARISMA,GILL,Gillam,56.376,-94.64
CARISMA,GULL,Gull Lake,50.061,-108.261
CARISMA,ISLL,Island Lake,53.856,-94.66
CARISMA,LGRR,Little Grand Rapids,52.035,-95.463
CARISMA,MCMU,Fort McMurray,56.657,-111.21
CARISMA,MSTK,Ministik Lake,53.351,-112.974
CARISMA,NORM,Norman Wells,65.257,-126.689
CARISMA,OSAK,Osakis,45.871,-95.083
CARISMA,OXFO,Oxford House,54.929,-95.287
CARISMA,PINA,Pinawa,50.199,-96.04
CARISMA,POLS,Polson,47.664,-114.209
CARISMA,RABB,Rabbit Lake,58.222,-103.68
CARISMA,RANK,Rankin Inlet,62.824,-92.11
CARISMA,SACH,Sachs Harbour,71.98,-125.23
CARISMA,TALO,Taloyoak,69.54,-93.55
CARISMA,THRF,Thief River Falls,48.027,-96.365
CARISMA,VULC,Vulcan,50.367,-112.98
CARISMA,WEYB,Weyburn,49.693,-103.8
CARISMA,WGRY,Wells Gray,51.883,-120.026
CANMOS,ALE,Alert,82.497,-62.353
CANMOS,BLC,Baker Lake,64.318,-96.012
CANMOS,BRD,Brandon,49.87,-99.974
CANMOS,CBB,Cambridge Bay,69.123,-105.031
CANMOS,EUA,Eureka,80.0,-85.9
CANMOS,FCC,Fort Churchill,58.759,-94.088
CANMOS,GLN,Glenlea,49.645,-97.12
CANMOS,GWC,Great Whale River,55.3,-77.75
CANMOS,IQA,Iqaluit,63.753,-68.518
CANMOS,MBC,Mould Bay,76.315,-119.362
CANMOS,MEA,Meanook,54.616,-113.347
CANMOS,OTT,Ottawa,45.403,-75.552
CANMOS,PBQ,Poste de-la-Baleine,55.277,-77.745
CANMOS,RES,Resolute,74.69,-85.17
CANMOS,STJ,St. John's,47.595,-52.677
CANMOS,SNK,Sanikiluaq,56.5,-79.2
CANMOS,VIC,Victoria,48.52,-123.42
CANMOS,WHS,Whiteshell,49.8,-95.25
CANMOS,YKC,Yellowknife,62.48,-114.482
AUTUMNX,FSJ,Fort St. John,56.23,-120.73
AUTUMNX,AKUL,Akulivik,60.82,-78.15
AUTUMNX,ATHA,Athabasca,54.714,-113.314
AUTUMNX,INUK,Inukjuak,58.47,-78.05
AUTUMNX,INUV,Inuvik,68.413,-133.77
AUTUMNX,KJPK,Kuujjuarapik,55.28,-77.76
AUTUMNX,LARG,La,55.158,-105.261
AUTUMNX,LETH,Lethbridge,49.637,-112.868
AUTUMNX,PUVR,Puvirnituq,60.05,-77.29
AUTUMNX,RADI,Radisson,53.79,-77.62
AUTUMNX,REDR,Red,52.143,-113.839
AUTUMNX,ROTH,Priddis,50.873,-114.302
AUTUMNX,SALU,Salluit,62.2,-75.65
AUTUMNX,SCHF,Schefferville,54.8,-66.81
AUTUMNX,SEPT,Spet-Iles,50.22,-66.27
AUTUMNX,STFL,Saint-Felicien,48.65,-72.45
AUTUMNX,VLDR,Val-d'Or,48.05,-77.78
DTU,AMK,Tasiilaq,65.6,-37.63
DTU,ATU,Attu,67.93,-53.57
DTU,BFE,Brorfelde,55.625,11.672
DTU,DMH,Danmarkshavn,76.77,-18.63
DTU,FHB,Paamiut,62.0,-49.68
DTU,GDH,Qeqertarsuaq,69.25,-53.53
DTU,GHB,Nuuk,64.17,-51.73
DTU,HOV,Faroe Islands,61.5,-6.76
DTU,KUV,Kullorsuaq,74.57,-57.18
DTU,NAQ,Narsarsuaq,61.16,-45.44
DTU,NRD,Nord,81.6,-16.67
DTU,NRSQ,Narsarsuaq,61.162,-45.442
DTU,ROE,Romo,55.172,8.55
DTU,SCO,Ittoqqortoormiit,70.48,-21.97
DTU,SKT,Maniitsoq,65.42,-52.9
DTU,STF,Kangerlussuaq,67.02,-50.72
DTU,SUM,Summit Ice Cap,72.32,-38.3
DTU,SVS,Savissivik,76.02,-65.1
DTU,TAB,Thule Air Base ,79.54,-68.82
DTU,TDC,Tristan Da Cunha ,-37.068,-12.317
DTU,THL,Qaanaaq,77.47,-69.23
DTU,UMQ,Uummannaq,70.68,-52.13
DTU,UPN,Upernavik,72.78,-56.15
IMAGE,NAL,Ny Alesund,78.92,11.95
IMAGE,LYR,Longyearbyen,78.2,15.82
IMAGE,HOR,Hornsund,77.0,15.6
IMAGE,HOP,Hopen Island,76.51,25.01
IMAGE,BJN,Bear Island,74.5,19.2
IMAGE,NOR,Nordkapp,71.09,25.79
IMAGE,SOR,Soroya,70.54,22.22
IMAGE,ALT,Alta,69.86,22.96
IMAGE,KEV,Kevo,69.76,27.01
IMAGE,TRO,Tromso,69.66,18.94
IMAGE,MAS,Masi,69.46,23.7
IMAGE,AND,Andenes,69.3,16.03
IMAGE,KIL,Kilpisjärvi,69.06,20.77
IMAGE,KAU,Kautokeino,69.02,23.05
IMAGE,IVA,Ivalo,68.56,27.29
IMAGE,ABK,Abisko,68.35,18.82
IMAGE,LEK,Leknes,68.13,13.54
IMAGE,MUO,Muonio,68.02,23.53
IMAGE,LOZ,Lovozero,67.97,35.08
IMAGE,KIR,Kiruna,67.84,20.42
IMAGE,RST,Rost,67.52,12.09
IMAGE,SOD,Sodankylä,67.37,26.63
IMAGE,PEL,Pello,66.9,24.08
IMAGE,JCK,Jackvik,66.4,16.98
IMAGE,DON,Donna,66.11,12.5
IMAGE,RAN,Ranua,65.9,26.41
IMAGE,RVK,Rorvik,64.94,10.98
IMAGE,LYC,Lycksele,64.61,18.75
IMAGE,OUJ,Oulujärvi,64.52,27.23
IMAGE,MEK,Mekrijärvi,62.77,30.97
IMAGE,HAN,Hankasalmi,62.25,26.6
IMAGE,DOB,Dombas,62.07,9.11
IMAGE,SOL,Solund,61.08,4.84
IMAGE,NUR,Nurmijärvi,60.5,24.65
IMAGE,HAR,Harestua,60.21,10.71
IMAGE,UPS,Uppsala,59.9,17.35
IMAGE,KAR,Karmoy,59.21,5.24
IMAGE,TAR,Tartu,58.26,26.46
IMAGE,BRZ,Birzai,56.17,24.86
IMAGE,HLP,Hel,54.61,18.82
IMAGE,SUW,Suwałki,54.01,23.18
IMAGE,WNG,Wingst,53.74,9.07
IMAGE,NGK,Niemegk,52.07,12.68
IMAGE,PPN,Polesie,51.45,23.13
GIMA,ARCT,Arctic Village,68.133,-145.567
GIMA,BETT,Bettles,66.901,-151.554
GIMA,CIGO,College Int'l Geophysical Observatory,64.873,-147.86
GIMA,EAGL,Eagle,64.78,-141.162
GIMA,FYKN,Fort Yukon,66.56,-145.214
GIMA,GAKO,Gakona,62.393,-145.13
GIMA,HLMS,High Latitude Monitoring Station,61.235,-149.872
GIMA,HOMR,Homer,59.658,-151.651
GIMA,KAKO,Kaktovik,70.135,-143.65
GIMA,KENA,Kenai College,60.554,-151.258
GIMA,POKR,Poker Flat,65.119,-147.433
GIMA,TRAP,Trapper Creek,62.24,-150.42
MACCS,NAN,Nain,56.4,-61.7
MACCS,PGG,Pangnirtung,66.1,-65.8
MACCS,CRV,Clyde River,70.5,-68.6
MACCS,CDR,Cape Dorset,64.2,-76.6
MACCS,IGL,Igloolik,69.3,-81.8
MACCS,CHB,Coral Harbour,64.188,-83.35
MACCS,RBY,Repulse Bay,66.524,-86.231
MACCS,PEB,Pelly Bay,68.538,-89.789
MACCS,GJO,Gjoa Haven,68.633,-95.85
McMAC,AMER,Americus,38.5,-96.3
McMAC,BENN,Bennington,41.36,-97.16
McMAC,GLYN,Glyndon,46.87,-96.45
McMAC,LRES,Linares,24.8,-99.6
McMAC,LYFD,Lyford,26.4,-97.8
McMAC,PCEL,Purcell,35.0,-97.4
McMAC,RICH,Richardson,32.98,-97.75
McMAC,SATX,San Antonio,29.44,-98.61
McMAC,WRTH,Worthington,43.6,-95.6
THEMIS,BMLS,Bay Mills,46.48,-84.69
THEMIS,CCNV,Carson City,39.19,-119.78
THEMIS,CHBG,Chibougamau,49.814,-74.419
THEMIS,DRBY,Derby,44.95,-72.13
THEMIS,GBAY,Goose Bay,53.316,-60.46
THEMIS,HOTS,Hot Springs,47.59,-114.66
THEMIS,KAPU,Kapuskasing,49.392,-82.32
THEMIS,KIAN,Kiana,66.971,-160.438
THEMIS,KUUJ,Kuujjuaq,58.1,-68.4
THEMIS,LOYS,Loysburg,40.18,-78.38
THEMIS,MCGR,Mcgrath,62.953,-155.596
THEMIS,PGEO,Prince George,53.815,-122.828
THEMIS,PINE,Pine Ridge,43.08,-102.59
THEMIS,PTRS,Petersburg,56.81,-132.95
THEMIS,RMUS,Remus,43.66,-85.14
THEMIS,SNAP,Snap Lake,63.58,-110.87
THEMIS,SWNO,Shawano,44.78,-88.6
THEMIS,TPAS,The Pas,53.994,-100.941
THEMIS,UKIA,Ukiah,45.14,-118.93
THEMIS,WHIT,Whitehorse,61.01,-135.223
USGS,BOU,Boulder,40.14,-105.237
USGS,BRW,Point Barrow,71.32,-156.62
USGS,BSL,NASA Stennis Space Center,30.35,-89.636
USGS,CMO,Fairbanks,64.87,-147.86
USGS,DED,Dead Horse,70.36,-148.793
USGS,FRD,Corbin,38.2,-77.373
USGS,FRN,Fresno,37.09,-119.713
USGS,GUA,Dededo,13.59,144.869
USGS,HON,Honolulu,21.32,-158.0
USGS,NEW,Colville National Forest,48.27,-117.123
USGS,SHU,Sand Point,55.38,-160.464
USGS,SIT,Sitka,57.06,-135.327
USGS,SJG,Cayey,18.11,-66.15
USGS,TUC,Tucson,32.17,-110.734
PENGUIN,PG0,Antarctica,-83.67,88.681
PENGUIN,PG1,Antarctica,-85.501,77.199
PENGUIN,PG2,Antarctica,-84.419,57.956
PENGUIN,PG3,Antarctica,-84.81,37.62
PENGUIN,PG4,Antarctica,-83.34,12.25
PENGUIN,PG5,Antarctica,-81.96,5.71
